,X,y
3937,"This, the direct-to-video death rattle of the Tremors series, features sixty inspired seconds (sawblade: you'll know it when you see it) and more tedium and filler than you can shake a stick at. Tremors 4 was obviously shot on a cripplingly low budget. That means they only had enough special effects mojo for three or four minutes of precious worm-on-human violence, tops. The lackluster, cliche-spouting cast and hackneyed writing ensure that the remaining hour and a half of the Tremors 4 experience feels at least fifteen thousand years long. Only hardcore Tremors fans will be able to sit through, much less enjoy this film. If you aren't among them- don't bother.",0
1961,"In the Hollywood west those trail hands were a rough bunch who when they came to town, partied pretty hardy. After all trail driving was a lonely business back in the day before railroads got to all parts of the USA. <br /><br />The drovers who worked for trail boss Gil Favor as played by Eric Fleming were no different. But Fleming was a man of all business, he had a job to do and hired a top crew to do it. <br /><br />With the long run of Rawhide and the fact that the regulars stayed with it for the most part, we got to know all the drovers at some point. A some point story lines were focused around all of them, though the bulk were with Fleming and Clint Eastwood's character Rowdy Yates, the number 2 guy with the herd.<br /><br />Clint Eastwood's western image was molded by Rawhide, it's a shame that these are not shown more often. Probably because they were done in black and white. Had this been an NBC show, this would have been done in color like Bonanza and be running as often as those shows are. We'd get to see a lot more of a man who became a move legend.<br /><br />Ironically enough it was Eric Fleming who left the show before it closed to do films. He did a few them and was hoping the show would give him a bankable movie name. Sadly he was killed on a movie location doing an action film, drowned in a river. Had he lived he might have become a name like Eastwood's.<br /><br />Clint took over as trail boss in the last season and then the show completed its run. And he of course became the icon he is today and not just in the western genre.<br /><br />Rawhide was a tough western who had some tough guys in it. No frills in this one, these were working cowboys just doing a job and battling the elements and whatever situations they were thrown into every year.<br /><br />They really don't make television series like these any more. What a pity.",1
2490,"This Italian film from the '70's is NOT even in the class with Dog Soldiers, The Howling, or even that awful American Werewolf in Paris, BUT...it is fun to watch. I'm talking about watching the lead actress, a stunning blonde, run amok in her birthday suit. We're talking about graphic, complete nudity...it's obvious that she is a real blonde...humma humma humma!! The story is a hoot, the SFX are childish, and the acting (for the most part) stinks. The only redeeming value of this movie is all (and there is a LOT) the nudity & sex scenes. Tame by HBO standards, but still fun to see when you find yourself without a date on Saturday night. OK...HERE'S THE SPOILER...There is NO werewolf (except in the opening scene of the heroine(??)'s ancestor. The girl just imagines that she's a werewolf...in other words, a clinical Lycanthrope.",0
331,"When seeing this movie you should take notice to that it´s not a normal movie. It has no real story just characters, a bunch of gangster characters who come together in a perfect harmony. The dialogue is wonderful, you can just lay back and listen. The movie stands out thats why it´s hard to find a right way of describing it.<br /><br />Thats why the user comments on this movie is so mixed.<br /><br />I for one love the movie and recommend it to all who love one-liners and things that differ from the ""normal"". You can´t really put the finger on what´s so wonderful about it it´s just a comical world where gangsters rule. A place of love and danger. A movie that you can see more than one time.",1
1320,"I'm not a follower of a certain movie genre. I classify movies only as industrial or non-industrial. Valentine is the second industrial movie of the director Jamie Blanks, after his Urban Legends. Unlike Urban Legends the screenplay and the story line is very weak. Yet again unlike Urban Legends the basic elements of the movie is so dashing and iconic, and that is what makes Valentine the best. <br /><br />As the first basic and iconic element, the growing hatred of the serial killer is so down-to-earth. Since his secondary school years, he has grown up with his wounds he had accumulated in his soul against his classmate girlfriends, who have made fun of him. When you concentrate enough on this first element while watching the movie, you will come to see this point of view of Humanism: ""Noone is entirely good or evil. In fact, somebody known as evil can be secretly kind hearted."" Just because the story line and the direction is very weak, we are not as satisfied as we deserved. <br /><br />The second iconic element is, of course, the magnificent togetherness of the late 90s' super starlets: My favourite is Jessica Cauffiel who is killed within the coolest way to be killed. An arrow shot from a bow broaches her tummy and stays stuck in, while she was playing hide-and-seek with her blind date, never able to met with. Katherine Heigl is the first starlet getting killed in a biology laboratory while trying to hide under human body models lying on the surgical operation tables. Denise Richards is killed third, while she just found a Valentines' Day gift for her at a whirlpool bath. Jessica Capshaw is killed last in a confidential and unseen way, then she is calumniated to be as the serial killer. Marley Shelton is the unluckiest one with a vicissitude of fortune that she is going to be killed within the most confidential way that we will never know, 'cause the movie is coming to an end before she is getting killed. Finally, Benita Ha is the luckiest one since she was not a classmate of the serial killer, David Boreanaz.<br /><br />The third and the last iconic element is the soundtrack from the blind date labyrinth scene, the Valentines' Day celebration at Dorothy's house scenes and ultimately the killing themes. Everybody has loved the soundtrack as far as I know. Hard Rock never suits better within a serial killer-mystery movie.",1
1113,"This movie was a really great flick about something that affects us all. I know I've personally run into this many times. Thank goodness Will Smith has jumped onto the societal issue of text messaging while driving. People, don't do it. An hour and forty five minutes is not enough time for this cause. Personally, I wanted to throw away my cell phone after the movie. I was glad to see other people in the theater saw the message and dumped their phones with the empty bags of popcorn. I decided to disable all text messaging on my phone and would encourage others to do the same. If you care about your family, make them watch this vital Public Service Announcement on text messaging while driving or they could kill seven people. Thanks for showing us the way.",1
3030,"Man oh man! What a piece of crummy film-making! But this is a guilty pleasure from my childhood even though I hate to admit it. They showed this movie on my basic cable system all the time. Where I grew up in San Jose, California (right on the border of Cupertino) we had this thing called The G Channel on our cable system. And they basically showed the same one movie over and over and over again. Wanda Nevada was one of those movies. I fell in lust and love with the young Brooke Shields and loved her dopey adventures in the Grand Canyon in the 1940s. The script makes almost no sense, the direction is poor, the few highlights are that Henry Fonda makes an appearance, a lot of dialog that's so bad it's good and a nice Carole King song played over the end credits. Maybe you have to be stoned to truly enjoy this flick. And hey, everybody knows there ain't no gold in the Grand Canyon!",0
191,"The nearest I ever came to seeing this was a clip shown at a Gerard Philippe exposition in Paris about two years ago. I had no interest in the remake and having just caught up with the original just over half a century after it was made I can only conclude that the inept fencing was intentional, aimed at a long obsolete target. Hollywood had been doing realistic sword fights since the 30s when the greatest of them all, Basil Rathbone, crossed foils with Errol Flynn and others so the technique was available and so that leaves only satire. After a while you don't notice and revel in the Henri Jeanson dialogue reminiscent of the Prisoner Of Zenda, both versions. Gerard Philippe certainly had the presence to bring off a role like this and Gina Lollabrigida was probably a tad better than Martine Carol, the other obvious candidate at the time. The print I saw was particularly bad and at one point broke down completely so maybe a DVD version would enhance it.",1
932,"As a long-standing Barbra fan, any posting like this will be biased. That aside, this film ranks as a classic. It has it's flaws (emphasized in other postings), but gives a glimpse of a time (late 70s) that will never be there again, and is fascinating to watch unfold on screen.<br /><br />Streisand fought hard to make this movie her own. I don't think she was ever satisfied. But it gives her fans a new Barbra (for the time) with LIVE singing, a young fresh appearance, and some very heavy-duty acting.<br /><br />The story is rough, but exciting, and holds your interest throughout. The extended one frame ""finale"" is hard for most non-Barbra fans to sit through, but it speaks volumes to those who admire her talent.<br /><br />",1
2587,"This film really disappointed me. The acting is atrocious. Unbelievable. And it's about actors. The story is incredibly obvious: A group of independent actors stage a Passion Play and, in turn, they start to live out the lives of the characters they play. I've been watching a lot of movies lately, thanks to Netflix, and this is the first one I haven't watched all the way through in a long time. I felt I didn't need to see the end; we all know the end of this story.<br /><br />For some, it seems, this ""modernization"" of the Gospels is either sacrilegious or enlightening. I cannot speak to any of this as I wasn't raised in the Christian church. That being said, I was raised in the US and I live in an increasingly Christian culture. I'm curious enough about Jesus and about the modernization of the religion, for better or worse. I haven't seen Mel Gibson's version, but I'm guessing that those who liked that one will like this, except for the most conservative. I just wish this was a better film.<br /><br />Lots of these reviews praise Arcand's direction and especially the cinematography. I liked neither. The film itself is rather prudish and preachy. I didn't believe the characters' personae and I was never involved with their on screen lives. The play within the play is very much dated and would not, I think, carry it's own weight in a real time production. But that's beside the point. What I really needed for this to work would have been stronger development of the characters and the plot to support the philosophical and theological questions the film would like to be about. And the musical choices are obvious and unoriginal.<br /><br />There were two examples of this that come easily to mind. Firstly, there is a reenactment of the parable of Jesus driving the money lenders from the temple: the lead actor, who has fallen for the woman who will play Magdalene and who is also a model and dancer, becomes enraged that she must debase herself by auditioning for a commercial (with a wicked producer and plenty of panting men in the audience) with her pants off. He trashes the place and chases them all out. I guess this is the level that the film wishes to reach. The romance between these two is entirely arbitrary and not at all emotionally realized and the scene is played out like a high-school rendering of Death of a Salesman, i.e., not well. Please stop hitting me over the head with this high-handed ""significance."" The other is the relationship between the other female lead and the priest who has asked them to do the play and who, eventually, turns against them and betrays them to the nowadays-corrupt Church. Why. Why does she sleep with this guy. ""It brings him so much pleasure and me so little pain."" Ah, the saintly whore and the lovable old coot. It seems to be just enough for Arcand to signify but not worth the trouble to enrich and enliven these characters. They are going through the motions and I'm reaching for the eject button.<br /><br />Feel free to write me off as bored, jaded or just not interested. Feel free to watch this movie and see the Passion, in all its beauty, sadness and inspiration, delivered as an amateurish and gimmicky charade. Feel free to have all your preconceived ideas affirmed and see any shred of artistic integrity forsaken for monotonous drivel. But don't say I didn't warn you.",0
